run_id,source_id,sector,ulvz_instance_id,body_index,position_id,base_position_id,latitude_deg,longitude_deg,family_id,parameter_source,old_type,old_tier,source_role,radius_km,thickness_km,dVs_percent,dVp_percent,dRho_percent,lateral_taper_km,top_taper_km,evidence_source
SRC027_TRIULVZ,SRC027,B,ULVZ130,2,B_G02,G02,-43.74113282,-32.58662529,F_small_medium_tradeoff,survey_family_sample,NONE,,project_sensitivity,398.3824,17.9412,-22.0588,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E104; project sensitivity assumption after location decoupling
SRC028_TRIULVZ,SRC028,B,ULVZ025,2,B_G01,G01,-40.85466479,-30.83981523,F_legacy_anchor,legacy_parameter_anchor,H2,heldout,heldout,400.0000,15.0000,-25.0000,-15.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC029_TRIULVZ,SRC029,B,ULVZ074,2,B_G04,G04,-45.53792330,-36.03605854,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-12.6136,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z
SRC030_TRIULVZ,SRC030,B,ULVZ089,2,B_G03,G03,-38.91690376,-27.78430053,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,15.2273,-25.2273,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E152; batch_02::B02-E104
SRC031_TRIULVZ,SRC031,B,ULVZ129,2,B_G02,G02,-43.74113282,-32.58662529,F_small_medium_tradeoff,survey_family_sample,NONE,,project_sensitivity,382.2059,17.3529,-22.6471,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E104; project sensitivity assumption after location decoupling
SRC032_TRIULVZ,SRC032,B,ULVZ114,2,B_G02,G02,-43.74113282,-32.58662529,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,17.0588,0.0000,0.0000,S04_DRHO10/S05_DRHO20; density is sensitivity input
SRC033_TRIULVZ,SRC033,B,ULVZ084,2,B_G05,G05,-48.26164894,-40.32564815,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,12.9545,-22.9545,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E152; batch_02::B02-E104
SRC034_TRIULVZ,SRC034,B,ULVZ076,2,B_G02,G02,-43.74113282,-32.58662529,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-13.9773,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z
SRC035_TRIULVZ,SRC035,B,ULVZ012,2,B_G07,G07,-41.29820323,-35.04531474,F_legacy_anchor,legacy_parameter_anchor,C4,core,core,400.0000,15.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC036_TRIULVZ,SRC036,B,ULVZ024,2,B_G05,G05,-48.26164894,-40.32564815,F_legacy_anchor,legacy_parameter_anchor,H1,heldout,heldout,240.0000,50.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,A+ production type provenance
