source_i,source_j,absolute_tensor_correlation,mechanism_distance
SRC010,SRC049,0.30585855,0.69414145
SRC010,SRC050,0.76036809,0.23963191
SRC011,SRC012,0.23654043,0.76345957
SRC011,SRC013,0.93771480,0.06228520
SRC011,SRC014,0.79063164,0.20936836
SRC011,SRC015,0.33244767,0.66755233
SRC011,SRC016,0.97742015,0.02257985
SRC011,SRC017,0.83902763,0.16097237
SRC011,SRC018,0.40834621,0.59165379
SRC011,SRC019,0.90476880,0.09523120
SRC011,SRC020,0.46839297,0.53160703
SRC011,SRC021,0.42002481,0.57997519
SRC011,SRC022,0.38296102,0.61703898
SRC011,SRC023,0.07553823,0.92446177
SRC011,SRC024,0.33360644,0.66639356
SRC011,SRC025,0.17338667,0.82661333
SRC011,SRC026,0.12177882,0.87822118
SRC011,SRC027,0.33109924,0.66890076
SRC011,SRC028,0.56705499,0.43294501
SRC011,SRC029,0.51336428,0.48663572
SRC011,SRC030,0.70167668,0.29832332
SRC011,SRC031,0.09904497,0.90095503
SRC011,SRC032,0.00147162,0.99852838
SRC011,SRC033,0.88730319,0.11269681
SRC011,SRC034,0.25668590,0.74331410
SRC011,SRC035,0.49383600,0.50616400
SRC011,SRC036,0.31801866,0.68198134
SRC011,SRC037,0.34110471,0.65889529
SRC011,SRC038,0.20824301,0.79175699
SRC011,SRC039,0.08331990,0.91668010
SRC011,SRC040,0.28175373,0.71824627
SRC011,SRC041,0.46614956,0.53385044
SRC011,SRC042,0.02533462,0.97466538
SRC011,SRC043,0.25101015,0.74898985
SRC011,SRC044,0.38753892,0.61246108
SRC011,SRC045,0.31702044,0.68297956
SRC011,SRC046,0.12892552,0.87107448
SRC011,SRC047,0.25484647,0.74515353
SRC011,SRC048,0.32598944,0.67401056
SRC011,SRC049,0.23919024,0.76080976
SRC011,SRC050,0.33239697,0.66760303
SRC012,SRC013,0.27232733,0.72767267
SRC012,SRC014,0.19706070,0.80293930
SRC012,SRC015,0.94660185,0.05339815
SRC012,SRC016,0.37494834,0.62505166
SRC012,SRC017,0.18521279,0.81478721
SRC012,SRC018,0.24964857,0.75035143
SRC012,SRC019,0.38821724,0.61178276
SRC012,SRC020,0.04828747,0.95171253
SRC012,SRC021,0.76817058,0.23182942
SRC012,SRC022,0.70543761,0.29456239
SRC012,SRC023,0.12998828,0.87001172
SRC012,SRC024,0.00354587,0.99645413
SRC012,SRC025,0.17146362,0.82853638
SRC012,SRC026,0.20441582,0.79558418
SRC012,SRC027,0.27164291,0.72835709
SRC012,SRC028,0.19505449,0.80494551
SRC012,SRC029,0.54095396,0.45904604
SRC012,SRC030,0.29673215,0.70326785
SRC012,SRC031,0.01442784,0.98557216
SRC012,SRC032,0.85732486,0.14267514
SRC012,SRC033,0.32582332,0.67417668
SRC012,SRC034,0.55958965,0.44041035
SRC012,SRC035,0.31308616,0.68691384
SRC012,SRC036,0.95530979,0.04469021
SRC012,SRC037,0.85080073,0.14919927
SRC012,SRC038,0.31875372,0.68124628
SRC012,SRC039,0.48177597,0.51822403
SRC012,SRC040,0.35877553,0.64122447
