event_id,depth_bin_km,mechanism_class,candidate_quantile_index,radiation_score,selection_rank,selected,A_P_rms_proxy,A_P_near_node_fraction,A_S_rms_proxy,A_S_near_node_fraction,B_P_rms_proxy,B_P_near_node_fraction,B_S_rms_proxy,B_S_near_node_fraction,C_P_rms_proxy,C_P_near_node_fraction,C_S_rms_proxy,C_S_near_node_fraction
C201102041353A,70-150,thrust,42,2.27614161,16,false,0.65651441,0.00000000,0.17218986,0.12352941,0.19136126,0.00000000,0.76143897,0.00000000,0.58676077,0.00000000,0.15493518,0.00000000
C201009040852A,70-150,thrust,14,2.19636800,17,false,0.04511349,0.84705882,1.07113318,0.00000000,0.69974414,0.00000000,0.58261807,0.00000000,0.88856430,0.00000000,0.60331246,0.00000000
C120799F,70-150,thrust,110,1.54107115,18,false,0.33860003,0.00000000,0.13037141,0.00000000,0.26152263,0.00000000,0.31045851,0.00000000,0.35698547,0.00000000,0.14313311,0.00000000
C202401082048A,70-150,thrust,2,1.30654937,19,false,0.22095020,0.00000000,0.69568735,0.00000000,0.42031771,0.00000000,0.42837593,0.00000000,0.68702198,0.00000000,0.06596092,0.60588235
C201412062205A,70-150,thrust,98,0.35697631,20,false,0.11332912,0.17647059,0.61883572,0.00000000,0.54648277,0.00000000,0.35881492,0.00000000,0.04683707,0.74705882,0.51973554,0.00000000
C201506101352A,70-150,normal,95,4.05419549,1,true,0.98525936,0.00000000,0.36677596,0.00000000,0.73879633,0.00000000,0.72381176,0.00000000,0.70429795,0.00000000,0.53525414,0.00000000
C202503061621A,70-150,normal,51,3.92131934,2,false,0.83163962,0.00000000,0.47844649,0.00000000,0.54884739,0.00000000,0.72509830,0.00000000,0.90015041,0.00000000,0.43713713,0.00000000
C201408242321A,70-150,normal,12,3.88777139,3,false,0.68634357,0.00000000,0.73014631,0.00000000,0.77032921,0.00000000,0.44953328,0.00000000,0.94941776,0.00000000,0.30200126,0.00000000
C100201B,70-150,normal,36,3.81207952,4,false,0.42123465,0.00000000,0.89946025,0.00000000,0.82118752,0.00000000,0.42809329,0.00000000,0.97811978,0.00000000,0.26398403,0.00000000
C200806031620A,70-150,normal,17,3.78645988,5,false,0.53955867,0.00000000,0.77404053,0.00000000,0.93452157,0.00000000,0.28207173,0.00000000,0.80458780,0.00000000,0.45167958,0.00000000
C202101080501A,70-150,normal,75,3.77320391,6,false,0.27203938,0.00000000,0.97142637,0.00000000,0.88675243,0.00000000,0.38651060,0.00000000,0.87284732,0.00000000,0.38362782,0.00000000
C202407190150A,70-150,normal,85,3.75653259,7,false,1.00043267,0.00000000,0.18207230,0.00588235,0.47905073,0.00000000,0.90228578,0.00000000,0.39562877,0.00000000,0.80882704,0.00000000
C201801210106A,70-150,normal,80,3.68267416,8,false,0.94893857,0.00000000,0.23730008,0.00000000,0.26892137,0.00000000,0.86763257,0.00000000,0.51371140,0.00000000,0.84617016,0.00000000
C200803242039A,70-150,normal,71,3.63542060,9,false,0.82693812,0.00000000,0.44509427,0.00000000,0.20411654,0.00000000,0.76549822,0.00000000,0.64616999,0.00000000,0.74760347,0.00000000
C201812160942A,70-150,normal,2,3.60923358,10,false,0.11799639,0.19411765,0.97619865,0.00000000,0.23983544,0.05882353,1.06384737,0.00000000,1.10748028,0.00000000,0.60975780,0.00000000
C202012061647A,70-150,normal,46,3.60598060,11,false,0.85433447,0.00000000,0.38411821,0.00000000,0.14002351,0.00588235,0.85647108,0.00000000,0.58939337,0.00000000,0.79340467,0.00000000
C201611041620A,70-150,normal,22,3.58012200,12,false,0.69802628,0.00000000,0.51722968,0.00000000,0.78547851,0.00000000,0.62700658,0.00000000,0.12575991,0.00000000,0.82662105,0.00000000
C202506061715A,70-150,normal,7,3.50615355,13,false,0.84841023,0.00000000,0.23404759,0.00000000,0.54896767,0.00000000,0.71237974,0.00000000,0.76992740,0.00000000,0.39242092,0.00000000
C201609101008A,70-150,normal,61,3.49053686,14,false,0.46327665,0.00000000,0.82981184,0.00000000,0.67173947,0.00000000,0.55531569,0.00000000,1.02587049,0.00000000,0.14452272,0.10000000
C201710100632A,70-150,normal,31,3.29661919,15,false,0.67027498,0.00000000,0.60266364,0.00000000,0.45247954,0.00000000,0.79372949,0.00000000,0.12248828,0.04705882,0.74910091,0.00000000
C201203212215A,70-150,normal,66,3.20356689,16,false,0.90612686,0.00000000,0.19609531,0.00000000,0.27918600,0.00000000,0.85179014,0.00000000,0.52672170,0.00000000,0.44364687,0.00000000
C202207271858A,70-150,normal,56,2.96407917,17,false,0.42943768,0.00000000,0.66159232,0.00000000,0.17229701,0.00000000,0.56836145,0.00000000,0.72852610,0.00000000,0.40386462,0.00000000
C202206042338A,70-150,normal,26,2.91346845,18,false,0.14479500,0.01764706,0.82440878,0.00000000,0.28790705,0.00000000,0.52887539,0.00000000,0.82175679,0.00000000,0.34101954,0.00000000
C201503230451A,70-150,normal,90,2.15301373,19,false,0.09592638,0.11764706,0.67183373,0.00000000,0.30892700,0.00000000,0.49084658,0.00000000,0.53077081,0.00000000,0.29000336,0.00000000
C201102121757A,70-150,normal,41,1.42417283,20,false,0.49687019,0.00000000,0.43169282,0.00000000,0.83018468,0.00000000,0.36161140,0.00000000,0.03429299,0.85882353,0.98716781,0.00000000
C201405042018A,150-300,strike_slip,33,4.21269752,1,true,0.36352899,0.00000000,1.06077585,0.00000000,0.77067582,0.00000000,0.74335075,0.00000000,0.44298632,0.00000000,0.83137979,0.00000000
C200904210526A,150-300,strike_slip,2,3.52422116,2,false,0.52614876,0.00000000,0.83556184,0.00000000,0.15329141,0.11764706,0.81410867,0.00000000,0.57098989,0.00000000,0.85941470,0.00000000
C201402262113B,150-300,strike_slip,94,3.28131218,3,false,0.72829655,0.00000000,0.77700896,0.00000000,0.11930585,0.22352941,0.77886680,0.00000000,0.46031493,0.00000000,0.86457792,0.00000000
C123090D,150-300,strike_slip,63,3.25628793,4,false,0.64525632,0.00000000,0.54135838,0.00000000,0.31955143,0.00000000,0.54322197,0.00000000,0.28964131,0.00000000,0.91725852,0.00000000
C012397B,150-300,strike_slip,99,3.22281821,5,false,0.15610122,0.11764706,0.80782337,0.00000000,0.57167577,0.00000000,0.70637688,0.00000000,0.48179892,0.00000000,0.73433617,0.00000000
C200812091728A,150-300,strike_slip,84,3.21407825,6,false,0.86864670,0.00000000,0.51986119,0.00000000,0.16482403,0.05882353,0.94335784,0.00000000,0.23376418,0.00000000,0.60127138,0.00000000
C072703A,150-300,strike_slip,73,3.19197203,7,false,0.47859308,0.00000000,0.75112965,0.00000000,0.16153693,0.11764706,0.70296534,0.00000000,0.52705140,0.00000000,0.80598975,0.00000000
C200601151158A,150-300,strike_slip,89,2.99015763,8,false,0.62452032,0.00000000,0.52517418,0.00000000,0.33143557,0.00000000,0.83168661,0.00000000,0.25163517,0.00000000,0.42570579,0.00000000
C200510151551A,150-300,strike_slip,58,2.98406273,9,false,0.58094780,0.00000000,0.79426252,0.00000000,0.45193626,0.00000000,0.79301150,0.00000000,0.10664371,0.23529412,0.72784917,0.00000000
C202306151806A,150-300,strike_slip,48,2.92428463,10,false,0.29465857,0.00000000,0.74446840,0.00000000,0.46502371,0.00000000,0.48594771,0.00000000,0.34111986,0.00000000,0.59306639,0.00000000
C122798A,150-300,strike_slip,22,2.70304160,11,false,0.26732105,0.00000000,0.49527520,0.00000000,0.51654729,0.00000000,0.45964499,0.00000000,0.23967983,0.00000000,0.72457325,0.00000000
C201502021049A,150-300,strike_slip,43,2.64676473,12,false,0.51157810,0.00000000,0.62203687,0.00000000,0.14196197,0.17647059,0.71777143,0.00000000,0.31834838,0.00000000,0.68800917,0.00000000
